
------------------------------------------------------------------------------

tsLinesOfCode, v2.4.0 (build 07/31/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits: 

	  tsLibCLI Import & Application Launch Features: 
	  Copyright (c) 2007-2009 Frederick A. Kier. 
			All rights reserved.

	  File Extension Features of SLOCCount 2.26: 
	  Copyright (c) 2001-2004 David A. Wheeler. 
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81: 
	  Copyright (c) 1981 Dr. Barry W. Boehm. 
			All rights reserved.

	  Python Logging Module API Features: 
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

		Individual Source Code Feature Statistics

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
       0     1126     1126     5354    50175 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/$README-tsWxGTUI_PyVx.txt
      29       18       47      103     1081 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_cursesOverlappingPanels.py
      40       24       64      154     1578 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_cursesPanels.py
     236      238      474     1181    15328 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_TermsAndConditions.py
     139      261      400     1505    14453 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsApplication.py
     158      310      468     1837    16686 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsCommandLineEnv.py
      87       87      174      499     5406 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsCommandLineInterface.py
      58      134      192      697     6069 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsCxGlobals.py
     419      210      629     1476    18189 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsDoubleLinkedList.py
     136      119      255      674     8189 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsExceptions.py
     342      240      582     1728    21038 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsLogger.py
     136      131      267      877     8932 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsOperatorSettingsParser.py
     267      182      449     1089    13999 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsPlatformRunTimeEnvironment.py
     187      145      332      846    11167 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsReportUtilities.py
      78      118      196      551     6462 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsSysCommands.py
     291      262      553     1397    16966 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxBoxSizer.py
     381      320      701     1748    22989 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxCheckBox.py
    1092      720     1812     5258    71196 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxColorPalette.py
     317      302      619     1479    18954 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxDisplay.py
     429      217      646     1497    18570 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxDoubleLinkedList.py
      66      146      212      731     6504 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxGlobals.py
    1048      699     1747     5043    68645 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxGraphicalTextUserInterface.py
     332      265      597     1523    19266 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxGridSizer.py
     302      410      712     2498    24708 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxMultiFrameEnv.py
     783      513     1296     3610    48445 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxRSM.py
     414      424      838     2057    27804 /cygdrive/d/WR/SoftwareGadgetry-PyPI/tsWxGTUI_PyVx/Python-3x/tsWxGTUI_Py3x/test_tsWxScrolledWindow.py
