
------------------------------------------------------------------------------

tsLinesOfCode, v2.0.0 (build 04/14/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits:

	  tsLibCLI Import & Application Launch Features:
	  Copyright (c) 2007-2009 Frederick A. Kier.
			All rights reserved.

	  File Extension Features of SLOCCount 2.26:
	  Copyright (c) 2001-2004 David A. Wheeler.
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81:
	  Copyright (c) 1981 Dr. Barry W. Boehm.
			All rights reserved.

	  Python Logging Module API Features:
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
      73      144      217      705     6374 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/__init__.py
     616      906     1522     5357    61419 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/tsApplication.py
      63       96      159      497     3945 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/__init__.py
      43       12       55      168     1843 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/classimporter.py
     417      291      708     1784    22999 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/commentless_tsApplication.py
      93      157      250     1035     8513 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/decorator.py
     401      607     1008     3277    35036 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/default_test_tsApplication.py
      59       66      125      339     3272 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/exitTest.py
      47       72      119      356     3258 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getCommandLineParserModule.py
      31        8       39      121      988 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getoptSample.py
      31       56       87      293     2398 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getRunTimeTitle.py
      37       57       94      300     2663 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getRunTimeTitleVersionDate.py
      77       72      149      444     4414 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/mainTest.py
      54       72      126      402     4013 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaArgParse.py
      67       72      139      444     4377 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaGetOpt.py
      54       73      127      403     4012 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaOptParse.py
      85      101      186      521     5701 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaArgParse.py
     158      156      314      789     8355 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaGetOpt.py
      82       85      167      439     4870 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaOptParse.py
       0       27       27       52      571 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/plan.txt
       0      444      444     2308    18810 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/README_tsApplication.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_ArgParse.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_GetOpt.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_OptParse.py
     421      580     1001     3267    34917 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_test_tsApplication.py
     421      579     1000     3255    34800 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_tsApplication.py
     374      379      753     2060    26599 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/sourceApplication.py
     443      592     1035     3318    35767 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication.py
     158      238      396     1174    13386 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_ArgParse.py
     268      281      549     1536    17577 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_GetOpt.py
     168      218      386     1112    13268 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_OptParse.py
     848      990     1838     5568    57820 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsCommandLineEnv.py
      66      263      329     1533    12667 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsCommandLineParser.py
     221      164      385      976    11087 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsDecorators.py
     126       95      221      612     6889 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsExceptions.py
     300      150      450     1481    16291 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsLogger.py
     179      121      300      814    10111 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsReportUtilities.py
     309      418      727     1979    21840 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tidy_tsApplication.py
     665      921     1586     5577    63757 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsApplication.py
     935     1188     2123     7032    82302 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsApplication_standalone.py
     181      333      514     1810    18523 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsCommandLineEnv.py
     510      644     1154     3507    39511 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsCommandLineParser.py
     138      176      314     1140    11530 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsCommandLineParserBuilder.py
     229      432      661     2159    19150 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsDecorators.py
     343      256      599     1823    22291 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsExceptions.py
     856      763     1619     5438    61420 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsLogger.py
     367      235      602     1902    21669 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsPlatformRunTimeEnvironment.py
     355      372      727     2374    26739 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tsReportUtilities.py
      63       96      159      497     3945 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/__init__.py
     473      616     1089     3396    37931 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/test/test_tsApplication.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/__init__.py
     181      333      514     1810    18523 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/src/tsCommandLineEnv.py
      63       96      159      501     3984 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/src/__init__.py
     426      607     1033     3398    35813 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/test/draft_test_tsCommandLineEnv.py
     421      579     1000     3255    34800 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/test/test_tsApplication.py
     426      607     1033     3398    35813 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineEnvPkg/test/test_tsCommandLineEnv.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineInterfacePkg/__init__.py
      98      122      220      653     6628 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineInterfacePkg/src/tsCommandLineInterface.py
      63       96      159      501     4005 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineInterfacePkg/src/__init__.py
      78       79      157      465     4707 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineInterfacePkg/test/test_tsCommandLineInterface.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/__init__.py
     512      638     1150     3548    39611 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/src/tsCommandLineParser.py
     138      176      314     1140    11530 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/src/tsCommandLineParserBuilder.py
      63       98      161      507     4083 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/src/__init__.py
     427      614     1041     3480    36507 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/test/monolithic_test_tsCommandLineEnv_20130504.py
      66      263      329     1533    12667 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/test/refactored_test_tsCommandLineEnv_20130505.py
      28      105      133      307     3640 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/test/sample.py
     466      648     1114     3616    38494 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsCommandLineParserPkg/test/test_tsCommandLineParser.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/__init__.py
       4        0        4       12      186 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/._configobj.py
       4        0        4       12      187 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/._setup.py
       4        0        4       12      187 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/._validate.py
    1224     1244     2468     8719    88163 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/configobj.py
      67       16       83      339     2669 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/setup.py
     452      998     1450     5134    46324 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/drafts/configobj-4.7.2/validate.py
    1249     1296     2545     8931    89973 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/src/configobj.py
      30       63       93      269     2324 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/src/tsConfig.py
     477     1049     1526     5351    47724 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/src/validate.py
      65       96      161      504     4007 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsConfigObjectPkg/src/__init__.py
      58       95      153      482     3767 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/__init__.py
       0       17       17       51      378 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/doc/README.txt
     459      510      969     4168    38965 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug.py
     110       61      171      790     6303 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug_algos.py
     133       34      167      351     4793 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug_client.py
     243      248      491     1542    16331 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug_files.py
      87       21      108      215     3214 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug_server.py
     259       90      349      979     9056 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/buzhug_test.py
     193      141      334     1292    12379 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/SimpleAsyncHTTPServer.py
      68       92      160      454     3698 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/buzhug/src/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/PyDbLite/__init__.py
     183      145      328     1306    11870 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/PyDbLite/src/PyDbLite.py
      63       91      154      447     3572 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/PyDbLite/src/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDataBasePkg/src/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDecoratorPkg/__init__.py
      93      157      250     1035     8513 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDecoratorPkg/src/decorator.py
     229      432      661     2159    19150 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsDecoratorPkg/src/tsDecorators.py
