
------------------------------------------------------------------------------

tsLinesOfCode, v2.4.0 (build 07/31/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits: 

	  tsLibCLI Import & Application Launch Features: 
	  Copyright (c) 2007-2009 Frederick A. Kier. 
			All rights reserved.

	  File Extension Features of SLOCCount 2.26: 
	  Copyright (c) 2001-2004 David A. Wheeler. 
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81: 
	  Copyright (c) 1981 Dr. Barry W. Boehm. 
			All rights reserved.

	  Python Logging Module API Features: 
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

		Individual Source Code Feature Statistics

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
       0      276      276      854     9711 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\$README-tsWxGTUI_PyVx.txt
     139      261      400     1505    14453 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsApplication.py
     158      310      468     1837    16686 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsCommandLineEnv.py
      87       87      174      499     5406 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsCommandLineInterface.py
      57      134      191      695     6054 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsCxGlobals.py
     419      210      629     1476    18189 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsDoubleLinkedList.py
     136      119      255      674     8189 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsExceptions.py
     342      240      582     1728    21038 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsLogger.py
     136      131      267      877     8932 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsOperatorSettingsParser.py
     267      182      449     1089    13999 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsPlatformRunTimeEnvironment.py
     187      145      332      846    11167 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsReportUtilities.py
      78      118      196      551     6452 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsSysCommand.py
     291      262      553     1397    16966 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxBoxSizer.py
     381      320      701     1748    22989 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxCheckBox.py
     429      217      646     1497    18570 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxDoubleLinkedList.py
      66      146      212      731     6504 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxGlobals.py
     937      558     1495     4302    59225 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxGraphicalTextUserInterface.py
     332      265      597     1523    19266 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxGridSizer.py
     302      410      712     2498    24708 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxMultiFrameEnv.py
     783      513     1296     3610    48445 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxRSM.py
     414      424      838     2057    27804 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxScrolledWindow.py
     344      546      890     2256    30074 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxScrolledWindowDual.py
     683      517     1200     2866    39856 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxSplashScreen.py
     839      842     1681     4359    58899 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\test_tsWxWidgets.py
     477      466      943     3519    34825 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsCxGlobals.py
      93      342      435     1801    17016 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsLinesOfCodeProjectMetrics.py
       0        0        0        0        0 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsLinesOfCodeProjectMetricsStatistics.txt
     262      237      499     1348    16800 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsPlatformQuery.py
     651      658     1309     4370    46235 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsStripComments.py
     185      178      363      914    10701 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsStripLineNumbers.py
     130       95      225      602     6928 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsTreeCopy.py
     143      109      252      704     8197 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsTreeTrimLines.py
       1       21       22       74      638 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_CLI_0_hello_world_print_statement.py
       1       23       24       86      716 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_CLI_1_hello_world_print_function.py
       1       23       24       86      726 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_CLI_2_hello_world_script_environment.py
       4       22       26       68      702 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_CLI_3_hello_world_main_module_application.py
     262      275      537     1536    18802 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_CLI_4_Command_Line_PlatformQuery_Application.py
     245      118      363      978     9612 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_GUI_0_Curses_LowLevel_WidgetApi_application.py
      13       46       59      164     1572 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_GUI_1_wxPython_HighLevel_WidgetApi_application.py
     212      313      525     1438    16951 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_GUI_2_tsWxGTUI_HighLevel_BoxSizerApi_application.py
     192      289      481     1362    15510 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\Tutorial_GUI_3_tsWxGTUI_HighLevel_WidgetApi_application.py
       0        0        0        0        0 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\__init__.py
       0       17       17       74     1079 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\logs\2014-05-28-at-19-38-02\tsLogger-Dict.txt
       0       17       17       65     1452 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\logs\2014-05-28-at-19-38-14\tsLogger-Dict.txt
       0       17       17       74     1533 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\logs\2014-05-28-at-19-38-29\tsLogger-Dict.txt
       0       17       17       74     1533 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\logs\2014-05-28-at-19-38-38\tsLogger-Dict.txt
       0       17       17       74     1533 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\logs\2014-05-28-at-19-38-47\tsLogger-Dict.txt
       0     1511     1511     6800    71713 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\$README-tsDemoArchive.txt
       0        0        0        0        0 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\__init__.py
     135      109      244      798     7651 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\demo_tsWxFrame.py
      43       48       91      310     2860 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\demo_wxFrame.py
     139      261      400     1505    14453 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsApplication.py
     158      310      468     1837    16686 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsCommandLineEnv.py
      87       87      174      499     5406 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsCommandLineInterface.py
      57      134      191      695     6054 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsCxGlobals.py
     419      210      629     1476    18189 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsDoubleLinkedList.py
     136      119      255      674     8189 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsExceptions.py
     342      240      582     1728    21038 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsLogger.py
     136      131      267      877     8932 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsOperatorSettingsParser.py
     267      182      449     1089    13999 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsPlatformRunTimeEnvironment.py
       0      186      186      496     7777 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsPlatformRunTimeEnvironment.txt
     187      145      332      846    11167 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsReportUtilities.py
      78      118      196      551     6452 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsSysCommand.py
     291      262      553     1397    16966 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxBoxSizer.py
     381      320      701     1748    22989 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxCheckBox.py
     317      302      619     1479    18954 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxDisplay.py
     429      217      646     1497    18570 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxDoubleLinkedList.py
      66      146      212      731     6504 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxGlobals.py
     937      558     1495     4302    59225 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxGraphicalTextUserInterface.py
     332      265      597     1523    19266 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxGridSizer.py
     302      410      712     2498    24708 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxMultiFrameEnv.py
     783      513     1296     3610    48445 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxRSM.py
     414      424      838     2057    27804 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxScrolledWindow.py
     344      546      890     2256    30074 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxScrolledWindowDual.py
     683      517     1200     2866    39856 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxSplashScreen.py
     839      842     1681     4359    58899 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\test_tsWxWidgets.py
     477      466      943     3519    34825 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\tsCxGlobals.py
      93      342      435     1801    17016 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\tsLinesOfCodeProjectMetrics.py
       0     1149     1149     3908   139630 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\tsLinesOfCodeProjectMetricsStatistics.txt
     262      237      499     1348    16800 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\tsPlatformQuery.py
     651      658     1309     4370    46235 d:\WR\SoftwareGadgetry-PyPI\Python-3x\tsWxGTUI_Py3x\tsDemoArchive\src\tsStripComments.py
